קוד רופא מאשפז,בכיר/לא בכיר
1048,?
1052,N
1060,N
1092,Y
1116,N
1147,N
1150,N
1232,N
1296,N
1309,?
1315,?
1384,?
1474,?
1482,?
1483,?
1491,?
1540,N
1602,N
1852,?
1922,?
1928,?
1935,?
1971,N
1974,?
1977,?
1985,?
2004,?
2008,N
2009,?
2016,N
2294,Y
6535,Y
6601,N
6768,Y
6769,Y
6770,Y
6771,Y
6773,Y
6774,Y
6775,Y
6777,Y
6796,Y
6861,Y
6888,Y
6892,Y
6927,תלוי עד איזה תאריך מתייחסים ל-DATA
6937,תלוי עד איזה תאריך מתייחסים ל-DATA
6939,Y
7233,Y
7306,N
7359,תלוי עד איזה תאריך מתייחסים ל-DATA
7596,Y
7605,?
7665,?
7680,תלוי עד איזה תאריך מתייחסים ל-DATA
7725,Y
7893,?
7993,תלוי עד איזה תאריך מתייחסים ל-DATA
8470,תלוי עד איזה תאריך מתייחסים ל-DATA
8706,?
8821,Y
8826,Y
8910,?
9095,Y
9097,?
9170,?
9281,תלוי עד איזה תאריך מתייחסים ל-DATA
9361,Y
9422,תלוי עד איזה תאריך מתייחסים ל-DATA
9435,?
9436,תלוי עד איזה תאריך מתייחסים ל-DATA
9458,תלוי עד איזה תאריך מתייחסים ל-DATA
9487,?
9545,תלוי עד איזה תאריך מתייחסים ל-DATA
9562,Y
9582,תלוי עד איזה תאריך מתייחסים ל-DATA
9585,?
9660,תלוי עד איזה תאריך מתייחסים ל-DATA
9702,תלוי עד איזה תאריך מתייחסים ל-DATA
9703,?
9718,תלוי עד איזה תאריך מתייחסים ל-DATA
9729,תלוי עד איזה תאריך מתייחסים ל-DATA
9762,תלוי עד איזה תאריך מתייחסים ל-DATA
9767,?
9786,?
9792,תלוי עד איזה תאריך מתייחסים ל-DATA
9851,Y
9893,?
9969,?
9970,?
9971,תלוי עד איזה תאריך מתייחסים ל-DATA
9972,תלוי עד איזה תאריך מתייחסים ל-DATA
9973,N
9975,תלוי עד איזה תאריך מתייחסים ל-DATA
10014,תלוי עד איזה תאריך מתייחסים ל-DATA
10016,תלוי עד איזה תאריך מתייחסים ל-DATA
10032,?
10112,תלוי עד איזה תאריך מתייחסים ל-DATA
10126,תלוי עד איזה תאריך מתייחסים ל-DATA
10170,תלוי עד איזה תאריך מתייחסים ל-DATA
10255,?
10257,?
10262,N
10264,?
10273,?
10313,תלוי עד איזה תאריך מתייחסים ל-DATA
10329,?
10408,תלוי עד איזה תאריך מתייחסים ל-DATA
10465,?
10487,תלוי עד איזה תאריך מתייחסים ל-DATA
10525,תלוי עד איזה תאריך מתייחסים ל-DATA
10535,N
10537,תלוי עד איזה תאריך מתייחסים ל-DATA
10561,תלוי עד איזה תאריך מתייחסים ל-DATA
10575,תלוי עד איזה תאריך מתייחסים ל-DATA
10582,?
10612,?
10615,תלוי עד איזה תאריך מתייחסים ל-DATA
10676,תלוי עד איזה תאריך מתייחסים ל-DATA
10760,תלוי עד איזה תאריך מתייחסים ל-DATA
10762,תלוי עד איזה תאריך מתייחסים ל-DATA
10769,תלוי עד איזה תאריך מתייחסים ל-DATA
10774,?
10795,תלוי עד איזה תאריך מתייחסים ל-DATA
10798,תלוי עד איזה תאריך מתייחסים ל-DATA
10803,N
10806,תלוי עד איזה תאריך מתייחסים ל-DATA
10811,N
10831,N
10923,תלוי עד איזה תאריך מתייחסים ל-DATA
10933,?
10942,תלוי עד איזה תאריך מתייחסים ל-DATA
10946,תלוי עד איזה תאריך מתייחסים ל-DATA
10948,תלוי עד איזה תאריך מתייחסים ל-DATA
10988, Y
11010,Y
11023,תלוי עד איזה תאריך מתייחסים ל-DATA
11031,?
11119,תלוי עד איזה תאריך מתייחסים ל-DATA
11121,?
11167,N
11174,תלוי עד איזה תאריך מתייחסים ל-DATA
11175,תלוי עד איזה תאריך מתייחסים ל-DATA
11178,תלוי עד איזה תאריך מתייחסים ל-DATA
11195,Y
11224,תלוי עד איזה תאריך מתייחסים ל-DATA
11233,תלוי עד איזה תאריך מתייחסים ל-DATA
11250,N
11350,?
11360,N
11365,N
11377,תלוי עד איזה תאריך מתייחסים ל-DATA
11403,N
11430,N
11437,N
11443,N
11459,?
11460,תלוי עד איזה תאריך מתייחסים ל-DATA
11469,?
11481,N
11482,N
11504,?
11515,N
11531,?
11582,N
11611,N
11623,?
11639,תלוי עד איזה תאריך מתייחסים ל-DATA
11670,N
11673,N
11674,?
11746,?
11762,?
11766,?
11792,N
11797,N
11803,?
11809,N
11810,N
11822,?
11833,N
11836,?
11840,N
11842,N
11848,N
11884,?
11887,תלוי עד איזה תאריך מתייחסים ל-DATA
11888,N
11890,N
11894,?
11914,?
11920,?
11943,?
11989,N
11990,?
12095,N
12105,N
12124,?
12129,N
12148,Y
12179,?
12180,N
12191,N
12197,?
12261,?
12267,?
12269,N
12278,?
12354,N
12356,?
12359,N
12384,?
12408,?
12413,?
12461,?
12473,N
12476,?
12478,Y
12481,?
12483,?
12490,?
12517,N
12523,N
12587,N
12592,N
12631,?
12639,N
12648,?
12649,N
12659,N
12688,N
12691,N
12722,?
12772,?
12913,N
12923,?
12929,N
