Doctor Code,Average Amount Of Releases
1003,1.0
1004,1.0
1006,1.85
1007,1.0
1013,1.54
1014,1.21
1017,1.46
1018,1.68
1021,1.44
1022,1.0
1023,1.0
1024,1.43
1025,1.25
1026,1.2
1027,1.04
1050,1.24
1052,1.82
1053,1.0
1054,1.18
1055,1.35
1056,1.75
1058,1.5
1059,1.44
1060,1.6
1061,1.37
1062,1.0
1063,1.0
1069,1.38
1072,1.53
1089,2.27
1096,1.08
1097,1.21
1099,1.0
1103,1.34
1104,1.36
1107,1.36
1108,1.55
1111,1.0
1113,1.38
1115,1.29
1116,1.08
1117,1.24
1119,1.18
1121,1.0
1129,1.5
1141,1.58
1142,1.0
1143,1.51
1145,1.23
1146,1.07
1147,1.74
1148,1.18
1150,1.5
1151,1.12
1155,1.25
1158,1.38
1162,1.0
1170,1.37
1221,1.14
1225,1.1
1232,1.54
1236,1.66
1238,1.13
1239,1.5
1241,1.09
1243,1.13
1244,1.95
1245,1.08
1248,1.67
1249,1.0
1251,1.2
1252,1.06
1253,1.0
1256,1.0
1261,1.71
1263,1.0
1278,1.0
1284,1.15
1292,1.24
1294,1.27
1295,1.32
1296,1.17
1299,1.4
1300,1.4
1301,1.0
1302,1.33
1303,1.14
1304,1.15
1305,1.27
1309,1.0
1317,1.72
1330,1.0
1332,1.4
1333,1.67
1336,1.24
1337,1.18
1338,1.25
1339,1.3
1340,1.07
1343,1.37
1345,1.0
1371,1.27
1383,1.47
1384,1.22
1385,1.43
1386,1.55
1387,1.0
1388,1.0
1389,1.25
1390,1.0
1392,1.0
1401,1.0
1402,1.11
1403,1.0
1404,1.0
1406,1.0
1408,1.7
1410,1.0
1411,1.82
1417,2.15
1419,1.33
1422,1.0
1434,1.2
1446,1.52
1448,1.0
1449,1.29
1452,1.25
1453,1.08
1454,1.33
1455,1.94
1458,1.0
1474,1.0
1476,1.17
1478,1.22
1479,1.0
1480,1.15
1481,1.0
1482,1.0
1483,1.39
1484,1.15
1485,1.22
1486,1.0
1487,4.28
1489,1.17
1490,1.27
1491,1.0
1493,1.0
1498,1.2
1499,2.24
1504,1.35
1533,1.0
1540,1.08
1544,1.0
1549,1.25
1553,1.0
1554,1.2
1581,1.11
1583,1.62
1585,1.09
1587,1.0
1588,1.11
1589,1.0
1593,1.11
1595,1.2
1596,1.0
1597,2.0
1598,1.4
1602,1.67
1612,1.21
1619,1.0
1628,1.2
1629,1.11
1632,1.91
1636,1.85
1638,1.36
1639,1.0
1641,1.0
1642,1.31
1643,1.14
1645,1.87
1647,1.0
1650,1.12
1657,1.0
1662,1.42
1696,1.31
1707,1.58
1718,1.0
1719,1.07
1720,1.21
1721,1.3
1722,1.62
1723,1.0
1724,1.15
1726,1.17
1727,1.14
1730,1.15
1732,1.06
1734,1.72
1735,1.14
1736,2.31
1738,1.16
1746,1.4
1753,2.05
1759,2.03
1760,1.0
1762,1.33
1764,1.12
1765,1.17
1766,1.14
1767,1.4
1768,1.0
1769,1.54
1771,1.4
1772,1.0
1773,1.33
1777,1.09
1787,1.0
1808,1.4
1831,1.17
1832,1.14
1833,1.18
1834,1.0
1835,1.0
1836,1.0
1837,1.0
1838,1.11
1841,1.5
1846,1.0
1848,1.09
1849,1.0
1851,1.0
1852,1.0
1861,1.44
1869,1.29
1870,1.0
1874,1.06
1875,1.23
1877,1.5
1878,1.0
1881,1.0
1887,1.0
1891,1.0
1898,1.0
1899,1.0
1917,1.0
1920,1.2
1921,1.0
1922,1.0
1924,1.06
1925,1.08
