Date,Doctor Code,Amount Of Patients
2022-02-07,1003,1
2022-02-07,1004,1
2022-02-14,1004,1
2022-02-19,1004,1
2022-08-03,1006,1
2022-12-18,1006,1
2023-01-17,1006,1
2023-04-03,1006,1
2023-04-06,1006,1
2023-05-04,1006,1
2023-05-11,1006,1
2023-05-24,1006,1
2023-05-26,1006,1
2023-07-04,1006,2
2023-07-05,1006,1
2023-07-16,1006,1
2023-07-30,1006,1
2023-07-31,1006,3
2023-08-01,1006,1
2023-08-02,1006,1
2023-08-05,1006,1
2023-08-06,1006,1
2023-08-07,1006,4
2023-08-08,1006,6
2023-08-09,1006,4
2023-08-10,1006,2
2023-08-11,1006,1
2023-08-12,1006,2
2023-08-13,1006,1
2023-08-14,1006,2
2023-08-15,1006,4
2023-08-16,1006,3
2023-08-18,1006,1
2023-08-19,1006,1
2023-08-20,1006,2
2023-08-21,1006,2
2023-08-22,1006,1
2023-08-23,1006,3
2023-08-24,1006,2
2023-08-25,1006,1
2023-08-26,1006,4
2023-08-27,1006,4
2023-08-28,1006,1
2023-08-31,1006,1
2023-09-03,1006,1
2023-09-05,1006,3
2023-09-06,1006,1
2023-09-07,1006,1
2023-09-09,1006,1
2023-09-11,1006,3
2023-09-12,1006,3
2023-09-13,1006,4
2023-09-17,1006,2
2023-09-18,1006,1
2023-09-19,1006,3
2023-09-20,1006,1
2023-09-22,1006,1
2023-09-23,1006,2
2023-09-24,1006,1
2023-09-25,1006,1
2023-09-26,1006,1
2023-09-27,1006,3
2023-09-28,1006,4
2023-09-29,1006,1
2023-09-30,1006,1
2023-10-01,1006,2
2023-10-02,1006,1
2023-10-03,1006,1
2023-10-04,1006,1
2023-10-05,1006,2
2023-10-06,1006,2
2023-10-07,1006,3
2023-10-09,1006,3
2023-10-12,1006,1
2023-10-13,1006,1
2023-10-14,1006,1
2023-10-15,1006,2
2023-10-16,1006,2
2023-10-17,1006,4
2023-10-18,1006,1
2023-10-19,1006,1
2023-10-20,1006,3
2023-10-22,1006,2
2023-10-23,1006,1
2023-10-25,1006,2
2023-10-26,1006,3
2023-10-27,1006,2
2023-10-29,1006,1
2023-10-30,1006,1
2023-10-31,1006,2
2023-11-02,1006,1
2023-11-03,1006,3
2023-11-05,1006,2
2023-11-06,1006,1
2023-11-07,1006,2
2023-11-08,1006,2
2023-11-12,1006,1
2023-11-13,1006,1
2023-11-16,1006,3
2023-11-18,1006,2
2023-11-19,1006,3
2023-11-20,1006,1
2023-11-21,1006,2
2023-11-23,1006,1
2023-11-24,1006,1
2023-11-25,1006,1
2023-11-26,1006,2
2023-11-27,1006,2
2023-11-28,1006,1
2023-11-30,1006,2
2023-12-01,1006,2
2023-12-02,1006,4
2023-12-03,1006,2
2023-12-04,1006,3
2023-12-07,1006,1
2023-12-08,1006,3
2023-12-09,1006,1
2023-12-10,1006,2
2023-12-13,1006,1
2023-12-15,1006,1
2023-12-16,1006,3
2023-12-17,1006,2
2023-12-18,1006,1
2023-12-19,1006,3
2023-12-20,1006,2
2023-12-21,1006,2
2023-12-25,1006,2
2023-12-26,1006,2
2023-12-27,1006,1
2023-12-28,1006,3
2023-12-29,1006,2
2023-12-31,1006,3
2022-03-09,1007,1
2022-04-15,1007,1
2022-04-20,1007,1
2022-12-12,1007,1
2022-02-04,1013,2
2022-02-05,1013,1
2022-02-06,1013,2
2022-02-07,1013,6
2022-02-10,1013,1
2022-02-12,1013,5
2022-02-14,1013,2
2022-02-16,1013,1
2022-02-18,1013,1
2022-02-20,1013,1
2022-02-26,1013,1
2022-03-06,1013,1
2022-03-07,1013,3
2022-03-09,1013,1
2022-03-14,1013,1
2022-03-15,1013,1
2022-03-16,1013,1
2022-03-17,1013,1
2022-03-18,1013,1
2022-03-23,1013,1
2022-04-30,1013,1
2022-05-01,1013,1
2022-05-06,1013,1
2022-05-11,1013,1
