Date,Unit,Amount Of Patients,Occupation Rate
2020-01-01 07:00:00,4,31,0.775
2020-01-01 07:00:00,2,30,0.75
2020-01-01 07:00:00,5,40,1.0
2020-01-01 07:00:00,1,32,0.8
2020-01-01 07:00:00,3,37,0.925
2020-01-02 07:00:00,4,31,0.775
2020-01-02 07:00:00,2,32,0.8
2020-01-02 07:00:00,5,37,0.925
2020-01-02 07:00:00,1,35,0.875
2020-01-02 07:00:00,3,37,0.925
2020-01-03 07:00:00,4,29,0.725
2020-01-03 07:00:00,2,32,0.8
2020-01-03 07:00:00,5,38,0.95
2020-01-03 07:00:00,1,28,0.7
2020-01-03 07:00:00,3,34,0.85
2020-01-04 07:00:00,4,32,0.8
2020-01-04 07:00:00,2,29,0.725
2020-01-04 07:00:00,5,34,0.85
2020-01-04 07:00:00,1,29,0.725
2020-01-04 07:00:00,3,37,0.925
2020-01-05 07:00:00,4,42,1.05
2020-01-05 07:00:00,2,38,0.95
2020-01-05 07:00:00,5,44,1.1
2020-01-05 07:00:00,1,37,0.925
2020-01-05 07:00:00,3,39,0.975
2020-01-06 07:00:00,4,42,1.05
2020-01-06 07:00:00,2,41,1.025
2020-01-06 07:00:00,5,50,1.25
2020-01-06 07:00:00,1,38,0.95
2020-01-06 07:00:00,3,42,1.05
2020-01-07 07:00:00,4,30,0.75
2020-01-07 07:00:00,2,41,1.025
2020-01-07 07:00:00,5,40,1.0
2020-01-07 07:00:00,1,34,0.85
2020-01-07 07:00:00,3,39,0.975
2020-01-08 07:00:00,4,34,0.85
2020-01-08 07:00:00,2,35,0.875
2020-01-08 07:00:00,5,40,1.0
2020-01-08 07:00:00,1,38,0.95
2020-01-08 07:00:00,3,30,0.75
2020-01-09 07:00:00,4,30,0.75
2020-01-09 07:00:00,2,36,0.9
2020-01-09 07:00:00,5,39,0.975
2020-01-09 07:00:00,1,34,0.85
2020-01-09 07:00:00,3,36,0.9
2020-01-10 07:00:00,4,29,0.725
2020-01-10 07:00:00,2,32,0.8
2020-01-10 07:00:00,5,44,1.1
2020-01-10 07:00:00,1,32,0.8
2020-01-10 07:00:00,3,37,0.925
2020-01-11 07:00:00,4,31,0.775
2020-01-11 07:00:00,2,29,0.725
2020-01-11 07:00:00,5,41,1.025
2020-01-11 07:00:00,1,35,0.875
2020-01-11 07:00:00,3,38,0.95
2020-01-12 07:00:00,4,38,0.95
2020-01-12 07:00:00,2,41,1.025
2020-01-12 07:00:00,5,50,1.25
2020-01-12 07:00:00,1,39,0.975
2020-01-12 07:00:00,3,38,0.95
2020-01-13 07:00:00,4,44,1.1
2020-01-13 07:00:00,2,35,0.875
2020-01-13 07:00:00,5,47,1.175
2020-01-13 07:00:00,1,38,0.95
2020-01-13 07:00:00,3,39,0.975
2020-01-14 07:00:00,4,39,0.975
2020-01-14 07:00:00,2,49,1.225
2020-01-14 07:00:00,5,51,1.275
2020-01-14 07:00:00,1,44,1.1
2020-01-14 07:00:00,3,40,1.0
2020-01-15 07:00:00,4,40,1.0
2020-01-15 07:00:00,2,41,1.025
2020-01-15 07:00:00,5,49,1.225
