date,Releasing_Doctor,sum
01/01/2020,8706,1
01/01/2020,11646,8
01/01/2020,6796,11
01/01/2020,9762,2
01/01/2020,6774,5
01/01/2020,11250,3
01/01/2020,6768,10
01/01/2020,9971,3
01/01/2020,6770,3
01/01/2020,10127,11
01/01/2020,10831,1
01/01/2020,11368,1
01/01/2020,11760,6
01/01/2020,10923,11
01/01/2020,6769,4
01/01/2020,7993,8
01/01/2020,6775,7
01/01/2020,11229,5
01/01/2020,6861,4
01/01/2020,9851,5
01/01/2020,10687,1
01/01/2020,10487,5
01/01/2020,11293,1
01/01/2020,11673,5
01/01/2020,11482,1
01/01/2020,11040,5
01/01/2020,11642,4
01/01/2020,7233,1
01/01/2020,9352,9
01/01/2020,9729,2
01/01/2020,6771,11
01/01/2020,10408,10
01/01/2020,11407,8
01/01/2020,11612,6
01/01/2020,8260,2
01/01/2020,7306,8
01/01/2020,7624,3
01/01/2020,8234,14
01/01/2020,11010,10
01/01/2020,11640,7
01/01/2020,10946,4
01/01/2020,9893,3
01/01/2020,9792,11
02/01/2020,6774,5
02/01/2020,8979,33
02/01/2020,11760,6
02/01/2020,11051,5
02/01/2020,9975,16
02/01/2020,8301,4
02/01/2020,9352,2
02/01/2020,9355,1
02/01/2020,8907,12
02/01/2020,8958,4
02/01/2020,11444,7
02/01/2020,9436,11
02/01/2020,10127,2
02/01/2020,6768,3
02/01/2020,11673,11
02/01/2020,9585,15
02/01/2020,11642,1
02/01/2020,11646,2
02/01/2020,6771,15
02/01/2020,11473,2
02/01/2020,6773,13
02/01/2020,11350,6
02/01/2020,6777,9
02/01/2020,10561,11
02/01/2020,11546,7
02/01/2020,6775,9
02/01/2020,9762,2
02/01/2020,10213,1
02/01/2020,8260,1
02/01/2020,6769,2
02/01/2020,11250,9
02/01/2020,9262,7
02/01/2020,9893,8
02/01/2020,9792,4
02/01/2020,11497,4
02/01/2020,7993,4
02/01/2020,10408,2
02/01/2020,6546,5
02/01/2020,11640,2
02/01/2020,11670,2
02/01/2020,10487,1
02/01/2020,8231,7
02/01/2020,7306,3
02/01/2020,10923,3
03/01/2020,11444,1
03/01/2020,9355,2
03/01/2020,9792,9
03/01/2020,9975,4
03/01/2020,8821,9
03/01/2020,10408,18
03/01/2020,8071,3
03/01/2020,8979,4
03/01/2020,9971,19
03/01/2020,10561,4
03/01/2020,8907,4
03/01/2020,11439,15
03/01/2020,8231,8
03/01/2020,10774,1
03/01/2020,9330,10
03/01/2020,9973,1
03/01/2020,11473,16
03/01/2020,11250,1
03/01/2020,6769,7
03/01/2020,11611,12
03/01/2020,11670,5
03/01/2020,6775,12
03/01/2020,9451,1
03/01/2020,11674,7
03/01/2020,8074,2
03/01/2020,10211,10
03/01/2020,11673,2
03/01/2020,9972,13
03/01/2020,11174,8
03/01/2020,9262,2
03/01/2020,6546,3
04/01/2020,8553,2
04/01/2020,10211,6
04/01/2020,7893,4
04/01/2020,10537,18
04/01/2020,9971,2
04/01/2020,9330,3
04/01/2020,9355,4
04/01/2020,10262,1
04/01/2020,11619,17
04/01/2020,11674,2
04/01/2020,10575,24
04/01/2020,11159,1
04/01/2020,9972,4
04/01/2020,11473,2
04/01/2020,11040,3
04/01/2020,11440,7
04/01/2020,11439,4
04/01/2020,7993,17
04/01/2020,9792,15
04/01/2020,6774,4
04/01/2020,10408,3
04/01/2020,11174,2
04/01/2020,9703,22
04/01/2020,11611,6
