Releasing_Doctor,Pro
1052,N
1059,N
1072,N
1103,N
1107,N
1143,N
1147,N
1232,N
1236,N
1383,N
1384,N
1386,N
1408,N
1446,N
1483,N
1484,N
1583,N
1636,N
1645,N
1662,N
1734,N
1769,N
1832,Y
1861,N
1985,Y
2048,N
2076,N
2107,N
2213,N
2268,Y
2308,N
6534,Y
6709,Y
6719,Y
6731,Y
6732,Y
6794,Y
6860,Y
6878,Y
6884,Y
6885,Y
6888,Y
6890,Y
6892,Y
6927,Y
6937,Y
6958,Y
6964,Y
6973,Y
7359,Y
7806,Y
7993,Y
8470,Y
8826,Y
8888,Y
8907,Y
8910,N
9097,N
9281,Y
9361,Y
9422,Y
9435,N
9436,Y
9458,Y
9582,Y
9660,Y
9702,Y
9718,Y
9724,N
9729,Y
9783,Y
9920,Y
9969,N
9971,Y
9972,Y
9975,Y
9983,N
10014,Y
10016,Y
10032,N
10079,Y
10112,Y
10126,Y
10170,Y
10257,N
10262,N
10264,N
10273,N
10280,N
10306,Y
10313,Y
10487,Y
10525,Y
10535,N
10537,Y
10561,Y
10575,Y
10615,Y
10676,Y
10760,Y
10762,Y
10769,Y
10773,?
10779,Y
10795,Y
10798,Y
10803,N
10806,Y
10864,Y
10923,Y
10928,N
10942,Y
10946,Y
10948,Y
10962,?
10989,Y
11023,Y
11031,N
11119,Y
11165,N
11167,Y
11174,Y
11175,Y
11178,Y
11195,Y
11206,N
11233,Y
11291,N
11360,N
11365,N
11377,Y
11430,N
11437,Y
11443,N
11459,N
11460,Y
11482,N
11484,N
11504,N
11505,N
11506,N
11515,N
11546,N
11582,N
11611,N
11623,N
11639,Y
11657,N
11670,N
11673,N
11687,N
11746,N
11755,N
11766,N
11767,N
11792,N
11804,N
11810,N
11822,N
11833,N
11842,N
11844,N
11848,N
11881,N
11884,N
11887,Y
11888,N
11890,N
11917,N
11927,N
11979,N
12081,N
12095,N
12129,N
12148,Y
12165,N
12174,N
12183,N
12191,N
12269,N
12280,N
12318,N
12330,N
12354,N
12359,N
12363,N
12384,N
12408,N
12427,N
12473,N
12483,N
12510,N
12517,N
12582,N
12587,N
12591,N
12599,N
12615,N
12633,N
12639,N
12649,N
12651,N
12659,N
12681,N
12688,N
12737,N
12743,N
12765,N
12772,N
12858,N
12865,N
12886,N
12914,N
12916,N
