Releasing_Doctor,Pro
1052,N
1059,N
1072,N
1103,?
1107,N
1143,N
1147,N
1232,N
1236,N
1383,?
1384,?
1386,N
1408,N
1446,?
1483,?
1484,?
1583,?
1636,N
1645,N
1662,N
1734,N
1769,N
1832,Y
1861,N
1985,M
2048,N
2076,N
2107,N
2213,N
2268,Y
2308,N
6534,Y
6709,Y
6719,Y
6731,Y
6732,Y
6794,Y
6860,Y
6878,Y
6884,M
6885,Y
6888,Y
6890,Y
6892,Y
6927,Y
6937,Y
6958,Y
6964,Y
6973,Y
7359,Y
7806,Y
7993,M
8470,Y
8826,Y
8888,Y
8907,Y
8910,?
9097,?
9281,M
9361,Y
9422,M
9435,?
9436,M
9458,M
9582,M
9660,M
9702,M
9718,M
9724,?
9729,M
9783,M
9920,Y
9969,?
9971,M
9972,M
9975,M
9983,?
10014,M
10016,M
10032,?
10079,Y
10112,M
10126,M
10170,M
10257,?
10262,N
10264,?
10273,N
10280,?
10306,Y
10313,M
10487,M
10525,M
10535,N
10537,M
10561,M
10575,M
10615,M
10676,M
10760,M
10762,M
10769,M
10773,?
10779,Y
10795,M
10798,M
10803,N
10806,M
10864,Y
10923,M
10928,?
10942,M
10946,M
10948,M
10962,?
10989,Y
11023,M
11031,?
11119,M
11165,N
11167,M
11174,M
11175,M
11178,M
11195,Y
11206,?
11233,M
11291,?
11360,N
11365,N
11377,M
11430,N
11437,M
11443,N
11459,?
11460,M
11482,N
11484,N
11504,?
11505,?
11506,?
11515,N
11546,?
11582,N
11611,N
11623,?
11639,M
11657,?
11670,N
11673,N
11687,?
11746,N
11755,?
11766,?
11767,N
11792,N
11804,N
11810,N
11822,?
11833,N
11842,N
11844,?
11848,N
11881,N
11884,?
11887,M
11888,N
11890,N
11917,N
11927,N
11979,?
12081,?
12095,N
12129,N
12148,M
12165,?
12174,?
12183,N
12191,N
12269,N
12280,?
12318,N
12330,?
12354,N
12359,N
12363,N
12384,?
12408,?
12427,N
12473,N
12483,?
12510,N
12517,N
12582,?
12587,N
12591,N
12599,N
12615,N
12633,N
12639,N
12649,N
12651,N
12659,N
12681,N
12688,N
12737,N
12743,N
12765,N
12772,?
12858,?
12865,N
12886,N
12914,?
12916,N
