רופא משחרר,Total_Patients,Avg_Days_To_Rehospitalization,Rehospitalization_Count
1052.0,900.0,13.205607476635514,107
1059.0,384.0,7.5,10
1072.0,322.0,14.047619047619047,21
1103.0,103.0,9.714285714285714,7
1107.0,195.0,7.916666666666667,12
1143.0,183.0,13.925925925925926,27
1147.0,779.0,10.16,100
1232.0,2987.0,10.555555555555555,9
1236.0,533.0,11.3,20
1383.0,73.0,8.166666666666666,6
1384.0,193.0,15.642857142857142,14
1386.0,272.0,14.804347826086957,46
1408.0,402.0,10.523809523809524,21
1446.0,170.0,15.0625,16
1483.0,237.0,16.0,9
1484.0,61.0,12.0,2
1583.0,288.0,12.72,25
1636.0,254.0,14.28125,32
1645.0,484.0,11.88,75
1662.0,187.0,12.421052631578947,19
1734.0,236.0,13.290322580645162,31
1769.0,166.0,11.947368421052632,19
1832.0,16.0,5.0,2
1861.0,124.0,10.777777777777779,9
1985.0,479.0,8.923076923076923,13
2048.0,83.0,16.5,12
2076.0,48.0,12.0,2
2107.0,21.0,2.0,2
2213.0,26.0,7.0,1
2268.0,3.0,21.5,2
2308.0,7.0,12.0,4
6534.0,128.0,10.0,19
6709.0,228.0,14.071428571428571,14
6719.0,51.0,8.0,3
6731.0,263.0,12.205128205128204,39
6732.0,94.0,13.416666666666666,12
6794.0,189.0,11.4,10
6860.0,459.0,9.818181818181818,33
6878.0,574.0,11.781512605042018,119
6884.0,466.0,10.0,2
6885.0,192.0,7.2727272727272725,22
6888.0,2924.0,12.525083612040135,299
6890.0,409.0,11.952380952380953,42
6892.0,650.0,11.041666666666666,48
6927.0,525.0,12.578947368421053,38
6937.0,786.0,8.529411764705882,17
6958.0,42.0,6.0,1
6964.0,102.0,12.818181818181818,11
6973.0,88.0,7.0,5
7359.0,725.0,12.5,2
7806.0,496.0,13.025,40
7993.0,402.0,12.242424242424242,33
8470.0,698.0,14.0,7
8826.0,298.0,12.380952380952381,42
8888.0,11.0,3.0,1
8907.0,76.0,6.666666666666667,3
8910.0,207.0,7.666666666666667,6
9097.0,332.0,9.5,26
9281.0,1735.0,11.637931034482758,58
9361.0,388.0,12.173913043478262,23
9422.0,1156.0,11.571428571428571,28
9435.0,1009.0,14.294117647058824,17
9436.0,1110.0,11.5,34
9458.0,166.0,15.0,11
9582.0,2070.0,12.520408163265307,98
9660.0,1077.0,12.095238095238095,42
9702.0,881.0,10.9,50
9718.0,627.0,11.884615384615385,26
9724.0,94.0,12.8,5
9729.0,1731.0,12.789473684210526,19
9783.0,86.0,10.75,4
9920.0,7.0,13.0,3
9969.0,555.0,14.181818181818182,11
9971.0,1374.0,9.846153846153847,26
9972.0,615.0,10.838709677419354,31
9975.0,498.0,16.0,16
9983.0,304.0,13.0,34
10014.0,1260.0,14.142857142857142,21
10016.0,845.0,12.181818181818182,22
10032.0,253.0,13.928571428571429,14
10079.0,322.0,12.425,40
10112.0,1810.0,12.48091603053435,131
10126.0,3623.0,9.027397260273972,73
10170.0,239.0,7.555555555555555,9
10257.0,126.0,13.25,4
10262.0,3546.0,13.196078431372548,102
10264.0,202.0,6.8,5
10273.0,213.0,12.875,16
10280.0,128.0,12.76923076923077,13
10306.0,32.0,12.333333333333334,3
10313.0,3479.0,11.168367346938776,196
10487.0,1137.0,14.89655172413793,58
10525.0,2143.0,11.35,80
10535.0,2096.0,13.479166666666666,96
10537.0,577.0,15.7,20
10561.0,1923.0,9.555555555555555,45
10575.0,2366.0,12.25,64
10615.0,2736.0,11.113924050632912,79
10676.0,2752.0,11.427710843373495,166
10760.0,5010.0,13.370165745856353,181
10762.0,3173.0,12.73913043478261,138
10769.0,1882.0,10.523809523809524,42
10773.0,173.0,13.0,18
10779.0,114.0,9.055555555555555,18
10795.0,575.0,12.289855072463768,69
10798.0,1563.0,12.270833333333334,48
10803.0,1584.0,12.155844155844155,77
10806.0,2710.0,13.141176470588235,85
10864.0,5.0,13.0,2
10923.0,8763.0,13.0,7
10928.0,176.0,12.416666666666666,24
10942.0,503.0,12.071428571428571,14
10946.0,2242.0,14.338461538461539,65
10948.0,2024.0,11.56578947368421,76
10962.0,89.0,4.0,2
10989.0,270.0,6.717948717948718,39
11023.0,2384.0,13.384615384615385,117
11031.0,106.0,7.0,2
11119.0,1504.0,8.911764705882353,34
11165.0,302.0,16.4,10
11167.0,1717.0,12.729166666666666,96
11174.0,4027.0,29.0,1
11175.0,2997.0,11.30722891566265,166
11178.0,2631.0,11.35483870967742,124
11195.0,1021.0,9.666666666666666,6
11206.0,228.0,13.571428571428571,14
11233.0,2533.0,10.2,115
11291.0,161.0,14.0,2
11360.0,584.0,14.119047619047619,84
11365.0,1732.0,10.021052631578947,95
11377.0,1509.0,12.804123711340207,97
11430.0,6789.0,9.666666666666666,3
11437.0,2341.0,11.818181818181818,77
11443.0,2956.0,11.2,5
11459.0,80.0,14.5,2
11460.0,2830.0,10.91005291005291,189
11482.0,1174.0,10.405405405405405,37
11484.0,373.0,14.791666666666666,24
11504.0,242.0,13.714285714285714,21
11505.0,219.0,13.642857142857142,14
11506.0,16.0,0.0,1
11515.0,1076.0,13.68,75
11546.0,368.0,11.043478260869565,23
11582.0,1085.0,13.23913043478261,92
11611.0,6680.0,13.434782608695652,23
11623.0,140.0,12.0,3
11639.0,2207.0,11.5,80
11657.0,68.0,14.0,1
11670.0,1998.0,12.066225165562914,151
11673.0,2428.0,12.120689655172415,116
11687.0,197.0,17.0,14
11746.0,1185.0,13.147368421052631,95
11755.0,220.0,6.933333333333334,15
11766.0,150.0,7.833333333333333,6
11767.0,396.0,11.371428571428572,35
11792.0,893.0,12.628571428571428,70
11804.0,485.0,15.272727272727273,11
11810.0,1154.0,12.703703703703704,81
11822.0,355.0,12.6875,32
11833.0,1815.0,11.886524822695035,141
11842.0,828.0,14.375,48
11844.0,325.0,3.0,2
11848.0,1052.0,11.429906542056075,107
11881.0,318.0,21.666666666666668,3
11884.0,126.0,3.0,1
11887.0,1534.0,11.315068493150685,73
11888.0,1384.0,13.604651162790697,86
11890.0,512.0,14.666666666666666,9
11917.0,101.0,10.11111111111111,9
11927.0,286.0,12.136363636363637,22
11979.0,107.0,4.0,1
12081.0,153.0,14.291666666666666,24
12095.0,1082.0,11.126436781609195,87
12129.0,2752.0,11.434108527131784,129
12148.0,743.0,12.375,16
12165.0,160.0,15.0,4
12174.0,412.0,12.375,8
12183.0,555.0,7.65,20
12191.0,406.0,15.5,2
12269.0,661.0,12.521739130434783,23
12280.0,388.0,14.411764705882353,17
12318.0,430.0,13.717391304347826,46
12330.0,176.0,10.625,16
12354.0,971.0,11.788732394366198,71
12359.0,1030.0,11.658227848101266,79
12363.0,575.0,12.909090909090908,33
12384.0,132.0,14.11111111111111,9
12408.0,425.0,5.6,5
12427.0,253.0,13.653846153846153,26
12473.0,1236.0,12.557142857142857,70
12483.0,221.0,9.555555555555555,9
12510.0,285.0,12.555555555555555,18
12517.0,810.0,12.092105263157896,76
12582.0,152.0,14.0,19
12587.0,852.0,13.373831775700934,107
12591.0,754.0,11.125,72
12599.0,573.0,11.607142857142858,28
12615.0,305.0,9.644444444444444,45
12633.0,884.0,12.369047619047619,84
12639.0,1059.0,12.367521367521368,117
12649.0,1569.0,12.96923076923077,130
12651.0,151.0,8.0,1
12659.0,807.0,12.670588235294117,85
12681.0,245.0,12.866666666666667,15
12688.0,808.0,12.968253968253968,63
12737.0,614.0,12.246153846153845,65
12743.0,164.0,12.846153846153847,13
12765.0,417.0,7.888888888888889,27
12772.0,111.0,16.5,2
12858.0,68.0,15.666666666666666,6
12865.0,184.0,16.76923076923077,13
12886.0,640.0,11.169811320754716,53
12914.0,541.0,14.571428571428571,42
12916.0,424.0,14.192307692307692,26
