job,NACE_category,Category_description
Jשמל,G,Wholesale and Retail Trade; Repair Services
אב בית,S,Other
אבטחה,N,Administrative and Support
אגרונום,A,Agriculture Forestry and Fishing
אוויר,H,Transportation and Storage
אוטובוס,H,Transportation and Storage
אומן,R,Arts Entertainment and Recreation
אונקולוג,Q,Human Health and Social Work
אופניים,G,Wholesale and Retail Trade; Repair Services
אחות,Q,Human Health and Social Work
אחות מוסמכת,Q,Human Health and Social Work
אחזקה באינבורסיטה,P,Education
אינסטלטור,F,Construction
אינסלטור,F,Construction
אלביט,C,Manufacturing
אלעל,H,Transportation and Storage
אלקטרונאי,C,Manufacturing
אמן,R,Arts Entertainment and Recreation
אסיר,O,Public Administration and Defence
בבית,T,Household and Self-Employed
בבית חולים,Q,Human Health and Social Work
בבית מלון,I,Accommodation and Food
בבניין,F,Construction
בבנק פועלים,K,Financial and Insurance
בבתי זיקוק,C,Manufacturing
בגן ילדים,P,Education
בגסטרו,Q,Human Health and Social Work
בדיקות קרינה,M,Professional Scientific and Technical
בונה צעצועים,C,Manufacturing
בזק,J,Information and Communication
בחסד לנזקקים,Q,Human Health and Social Work
בטוח לאומי,O,Public Administration and Defence
בטחון,N,Administrative and Support
בטקסטיל,C,Manufacturing
ביד למכירת,G,Wholesale and Retail Trade; Repair Services
ביטוח,K,Financial and Insurance
ביטחון,N,Administrative and Support
בילדים,Q,Human Health and Social Work
בית דפוס,C,Manufacturing
בית ספר,P,Education
בלוגיסטיקה,H,Transportation and Storage
במוסד,Q,Human Health and Social Work
במטבח,I,Accommodation and Food
במטחון,N,Administrative and Support
במסחר,G,Wholesale and Retail Trade; Repair Services
במפעל,C,Manufacturing
במשק,A,Agriculture Forestry and Fishing
במשק בית,T,Household and Self-Employed
בנאי,F,Construction
בניין,F,Construction
בנק,K,Financial and Insurance
בנק פועלים,K,Financial and Insurance
בנקאי,K,Financial and Insurance
בסופר,G,Wholesale and Retail Trade; Repair Services
בספרות,P,Education
בפיצריה,I,Accommodation and Food
בקרת איכות,M,Professional Scientific and Technical
ברזלן,F,Construction
בשגרירות,O,Public Administration and Defence
בשווקים,G,Wholesale and Retail Trade; Repair Services
גבייה בכביש,O,Public Administration and Defence
גגן,F,Construction
גינון,A,Agriculture Forestry and Fishing
גנן,A,Agriculture Forestry and Fishing
גננת,P,Education
גרפיקאי,M,Professional Scientific and Technical
דודי שמש,F,Construction
דוואר,H,Transportation and Storage
דוקטור לפיזיקה,P,Education
דוקטור מפקד ברשת,O,Public Administration and Defence
דיטאנית אחות,Q,Human Health and Social Work
דין,M,Professional Scientific and Technical
דר לפיזיקה,P,Education
האחרונה,O,Public Administration and Defence
הבטחון,N,Administrative and Support
הביטחון,N,Administrative and Support
הוראה,P,Education
החוץ,O,Public Administration and Defence
הייטק,J,Information and Communication
המשטרה,O,Public Administration and Defence
הנדסאי,M,Professional Scientific and Technical
הנדסאי בניין,F,Construction
הנדסאי מזגנים,F,Construction
הנדסאית,M,Professional Scientific and Technical
הנדסה,M,Professional Scientific and Technical
הנדסת,M,Professional Scientific and Technical
הנדסת חשמל,M,Professional Scientific and Technical
הנדסת מזון איגוד,C,Manufacturing
הנהלת חשבונות,K,Financial and Insurance
הסעות,H,Transportation and Storage
התעשיה האווירית,C,Manufacturing
זמכירה,G,Wholesale and Retail Trade; Repair Services
חווה טיפולית,Q,Human Health and Social Work
חוסה במוסד,Q,Human Health and Social Work
חוסה במעון נעורים,Q,Human Health and Social Work
חוקר פרטי,M,Professional Scientific and Technical
חינוך מיוחד,P,Education
חלקאי,A,Agriculture Forestry and Fishing
חנות,G,Wholesale and Retail Trade; Repair Services
חנות פיצוחים,G,Wholesale and Retail Trade; Repair Services
חנות פרקטים,G,Wholesale and Retail Trade; Repair Services
חנות תכשיטים,G,Wholesale and Retail Trade; Repair Services
חקלאות,A,Agriculture Forestry and Fishing
חקלאי,A,Agriculture Forestry and Fishing
חקלאי משתלה,A,Agriculture Forestry and Fishing
